modi_domain	modi_phylum	modi_class	modi_order	modi_family	modi_genus
Bacteria	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Tautonia
Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium
Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnobius
Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronolimnohabitans
Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcales	Caldococcus
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marinitalea
Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sideroxydans
Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salarchaeum
Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis
Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus
Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomarina
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Algoriella
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Parashewanella
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Actimicrobium
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Aurantimicrobium
Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonas
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Snuella
Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubellus
